"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Best wishes to Haryana CM @mlkhattar Ji on his birthday. Manohar Lal Ji has been working assiduously for Haryana’s… https://t.co/AMbmdBtMuv",FALSE,37563,NA,2020-05-05 03:47:03,TRUE,NA,"1257517138245382145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",3356,FALSE,FALSE,NA,NA
"2","Spoke at the NAM Summit, held via video conferencing. https://t.co/yRaIbCtpkq",FALSE,39269,NA,2020-05-04 17:41:11,FALSE,NA,"1257364666105376773",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","narendramodi",7570,FALSE,FALSE,NA,NA
"3","Saluting those who are at the forefront, bravely fighting COVID-19. 

Great gesture by our armed forces. https://t.co/C5qtQqKxmA",FALSE,90731,NA,2020-05-03 10:22:41,FALSE,NA,"1256891923047936000",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",17642,FALSE,FALSE,NA,NA
"4","Birthday wishes to my colleague Shri @MundaArjun Ji. Praying for his good health and long life.",FALSE,41751,NA,2020-05-03 10:12:54,FALSE,NA,"1256889460874072065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",3300,FALSE,FALSE,NA,NA
"5","Greetings to Rajasthan CM Shri @ashokgehlot51 Ji on his birthday. I pray that he is blessed with a long and healthy life.",FALSE,56661,NA,2020-05-03 10:11:35,FALSE,NA,"1256889129683447808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",4059,FALSE,FALSE,NA,NA
"6","Tributes to our courageous soldiers and security personnel martyred in Handwara. Their valour and sacrifice will ne… https://t.co/GbDlDPiMyC",FALSE,162188,NA,2020-05-03 09:29:36,TRUE,NA,"1256878565506732034",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",23311,FALSE,FALSE,NA,NA
"7","The Central Government is focused on ensuring welfare of workers, helping businesses overcome the difficulties aris… https://t.co/rRqtG0IHNA",FALSE,26576,"narendramodi",2020-05-02 17:41:13,TRUE,"1256639892844507136","1256639896166391808","18839785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",3372,FALSE,FALSE,NA,NA
"8","Held a meeting to discuss subjects related to the financial world, including structural reforms that will give a bo… https://t.co/LsMqn3bxo2",FALSE,47862,NA,2020-05-02 17:41:12,TRUE,NA,"1256639892844507136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",5958,FALSE,FALSE,NA,NA
"9","Chaired a meeting on strengthening our MSME sector, which plays a pivotal role in economic development. There were… https://t.co/VtgCQaiSMX",FALSE,55167,NA,2020-05-02 14:30:28,TRUE,NA,"1256591893401448448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",6620,FALSE,FALSE,NA,NA
"10","Government of India is actively working towards further strengthening FPOs, developing a Brand India in the sector… https://t.co/0tVC8jaLtY",FALSE,15218,"narendramodi",2020-05-02 12:12:04,TRUE,"1256557059505451008","1256557063020281858","18839785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2361,FALSE,FALSE,NA,NA
"11","Discussed ways through which existing measures ranging from Kisan Credit Cards, PM-KISAN and e-Nam can be made even… https://t.co/XdavkHAvju",FALSE,16172,"narendramodi",2020-05-02 12:12:03,TRUE,"1256557048734445568","1256557059505451008","18839785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2465,FALSE,FALSE,NA,NA
